"UNIPROT","logFC_protein","AVEEXPR","T","P.VALUE","ADJ.P.VAL","B.x","SIGNIFICANT","CATEGORY","SYMBOL","X","logFC_rna","AveExpr","t","P.Value","adj.P.Val","B.y","ENTREZID","GENENAME","status"
"Q96EQ0",-1.49063288849305,0.219785824598026,-8.47631289079667,5.23981209652307e-08,7.77639649949516e-05,8.50340705606234,TRUE,"Downregulated","SGTB","228745_at",-1.05990443731824,10.683637909198,-2.63852493280004,0.00916127877738967,0.0762069007524701,-3.04841554779128,54557,"small glutamine rich tetratricopeptide repeat co-chaperone beta","Concordant"
"P02743",3.79365162814428,-0.574236994705359,8.40174440626817,6.01655435164035e-08,7.77639649949516e-05,8.37738475480455,TRUE,"Upregulated","APCS","206350_at",1.04336633289172,5.52580668449308,2.47780978956038,0.014272678946393,0.101417917887657,-3.43395982662454,325,"amyloid P component, serum","Concordant"
"P27338",2.08126191048594,0.047756835564298,7.94605284389296,1.4225701133257e-07,0.000122578124764898,7.58882870576386,TRUE,"Upregulated","MAOB","204041_at",0.911145482028228,9.15342096058662,2.59186070196237,0.010441852011138,0.0829512631427921,-3.16264801899246,4129,"monoamine oxidase B","Concordant"
"P17302",1.82083866615426,-0.190301501308207,7.16075969132582,6.68851981295768e-07,0.00043224559291239,6.1547122479054,TRUE,"Upregulated","GJA1","201667_at",0.425101605765255,12.4124824238549,0.928010970587526,0.354819414261855,0.632498171401703,-5.9572646735093,2697,"gap junction protein alpha 1","Concordant"
"Q13228",1.3903003401496,0.449661539812011,7.04897586409209,8.39376427936073e-07,0.00043395761324295,5.94281561664687,TRUE,"Upregulated","SELENBP1","214433_s_at",-0.327290648995858,7.19769440517761,-0.893237284888799,0.373090569063301,0.64808332832533,-5.98806201754268,8991,"selenium binding protein 1","Discordant"
"P02763",3.3009692480078,-0.147137530625658,6.82076463594136,1.34144499744143e-06,0.000565924666662459,5.50427798780305,TRUE,"Upregulated","ORM1","205041_s_at",-0.771959559188095,3.16611646465981,-1.26743344888596,0.206867824303995,0.480277544462926,-5.59583801427409,5004,"orosomucoid 1","Discordant"
"P17931",1.43481505201203,-0.15161365675396,6.75656853504513,1.53248459057532e-06,0.000565924666662459,5.37949008841659,TRUE,"Upregulated","LGALS3","208949_s_at",0.994634533530917,9.37896036602649,2.69638796929901,0.0077707664868683,0.0685219913525718,-2.90418732067216,3958,"galectin 3","Concordant"
"P17655",1.24039289990217,0.20194162625319,6.49396634690476,2.65706002784146e-06,0.000858562521496272,4.86259976144812,TRUE,"Upregulated","CAPN2","214888_at",1.34418733648524,6.20670776035811,3.00382719300602,0.00310151528693722,0.0372012070387727,-2.09062643406125,824,"calpain 2","Concordant"
"P46976",1.41486379926745,-0.217327608348848,6.28288327908896,4.16253857282004e-06,0.00119557357897109,4.43976637855731,TRUE,"Upregulated","GYG1","211275_s_at",-1.10580339541486,10.4490280351654,-3.22696919692393,0.00152153509190387,0.0227490877646651,-1.45141181720914,2992,"glycogenin 1","Discordant"
"Q15847",1.94008499842141,1.18440133160468,6.121344968207,5.89154315089155e-06,0.00142126223210878,4.11188152046968,TRUE,"Upregulated","ADIRF","203571_s_at",-1.64536538710627,6.52246793693226,-2.68236402312757,0.00808902157410553,0.0702195618939877,-2.93940471174064,10974,"adipogenesis regulatory factor","Discordant"
"Q14956",3.62132493850003,0.07361538374379,6.10922483390298,6.04792439195226e-06,0.00142126223210878,4.08713349174445,TRUE,"Upregulated","GPNMB","201141_at",0.298990111455325,7.56433435269602,0.75566473280631,0.450976936244832,0.70904195157807,-6.09847722306364,10457,"glycoprotein nmb","Concordant"
"O95757",-1.09461074605943,-0.31659123563677,-5.79027768370506,1.21286424368109e-05,0.00244489217323338,3.42875870097172,TRUE,"Downregulated","HSPA4L","1556194_a_at",-0.332364285085663,8.73435029218333,-0.781938407437809,0.435422674494707,0.69820642327537,-6.0788015278341,22824,"heat shock protein family A (Hsp70) member 4 like","Concordant"
"P13796",1.6154338393848,0.431828813758494,5.76838548732267,1.27276715505513e-05,0.00244489217323338,3.3830803624357,TRUE,"Upregulated","LCP1","208885_at",0.0581826697100531,5.77281385724264,0.113655114551415,0.909655691487166,0.964098872085795,-6.3708297331573,3936,"lymphocyte cytosolic protein 1","Concordant"
"O43765",-1.3120084100284,0.286359427955046,-5.70125257632792,1.47605411916962e-05,0.00244489217323338,3.24263096185667,TRUE,"Downregulated","SGTA","201396_s_at",0.238856706390107,7.33465938180916,0.597013069110453,0.551354432774237,0.780650469597279,-6.20308496098851,6449,"small glutamine rich tetratricopeptide repeat co-chaperone alpha","Discordant"
"Q96AQ6",1.61364408861661,0.272048700578919,5.68999145083473,1.51327948826824e-05,0.00244489217323338,3.21901656361716,TRUE,"Upregulated","PBXIP1","212259_s_at",0.978944971418135,6.16255713959928,1.90362193279232,0.0587801803961908,0.239265051861445,-4.62602552667557,57326,"PBX homeobox interacting protein 1","Concordant"
"Q14624",2.34770236002227,-0.0585158061772611,5.65621165454315,1.63081169703979e-05,0.0024788702007994,3.14808749364784,TRUE,"Upregulated","ITIH4","206287_s_at",-0.675000514561412,3.71364380675559,-1.26087193375167,0.209216346599321,0.483458488145999,-5.60386528150198,3700,"inter-alpha-trypsin inhibitor heavy chain 4","Discordant"
"P00738",4.31743161226333,-0.499703222247483,5.60281615586099,1.83597093696023e-05,0.0024788702007994,3.0356880924584,TRUE,"Upregulated","HP","206697_s_at",1.29892186817298,6.20352373974808,2.6172713534964,0.00972586784200137,0.0791656112895205,-3.10067472387378,3240,"haptoglobin","Concordant"
"P00450",1.70139281940213,0.224952913036843,5.59685576696417,1.86045391669617e-05,0.0024788702007994,3.02312005924344,TRUE,"Upregulated","CP","227253_at",2.52222427260444,5.81591297540645,4.44582903814489,1.643335712345e-05,0.000822500131458791,2.71161958927437,1356,"ceruloplasmin","Concordant"
"P50440",0.99080199628566,0.254259128528014,5.5831823992157,1.91788796967072e-05,0.0024788702007994,2.99427255601774,TRUE,"Not Significant","GATM","203178_at",1.75931185960096,9.27081677994741,4.64367243389154,7.16501382590442e-06,0.000424352364088612,3.48615113321362,2628,"glycine amidinotransferase","Concordant"
"P30041",1.39895270540111,0.210324103276088,5.55599540264699,2.03753062343993e-05,0.00250810317218677,2.93684902322395,TRUE,"Upregulated","PRDX6","200845_s_at",2.18230456643967,10.9079674194823,6.04612258721673,1.03382037608626e-08,2.64495333883875e-06,9.64718427433013,9588,"peroxiredoxin 6","Concordant"
"O95817",1.52440248348981,0.464815583507758,5.52483693011642,2.18407347469593e-05,0.00256628633276772,2.87093087168253,TRUE,"Upregulated","BAG3","217911_s_at",1.40992666939392,8.76017827335093,3.14362806954421,0.00199398230208907,0.0275370604131747,-1.69486356817418,9531,"BAG cochaperone 3","Concordant"
"Q96CN7",0.972731110879874,0.870929619835839,5.43409013376343,2.67530104900837e-05,0.00300680574421158,2.6783167195378,TRUE,"Not Significant","ISOC1","218170_at",-0.466766457501022,7.50957972294451,-1.34398268947215,0.180883461502673,0.446678458755326,-5.49917779578635,51015,"isochorismatase domain containing 1","Discordant"
"Q9Y2J2",-1.16343631096849,-0.29678343882975,-5.36166233758603,3.14746408634016e-05,0.00339008110966222,2.52393025076916,TRUE,"Downregulated","EPB41L3","211776_s_at",-1.97150294181145,7.28593999641193,-3.72769221004563,0.000268877744669687,0.00660557639096958,0.126007101858132,23136,"erythrocyte membrane protein band 4.1 like 3","Concordant"
"P19652",2.65056657376944,-0.116673072045305,5.30525376581031,3.57352447019038e-05,0.00368131741032433,2.40330219866854,TRUE,"Upregulated","ORM2","214465_at",0.246620798031814,3.17163660807786,0.498483798308136,0.618837306414462,0.821330324702971,-6.25575414596731,5005,"orosomucoid 2","Concordant"
"Q96HU8",-1.55306186888741,-0.673954706040426,-5.27670959370383,3.81108971271657e-05,0.00368131741032433,2.34213561908578,TRUE,"Downregulated","DIRAS2","219619_at",-0.0680676238191822,11.4412378892056,-0.139793510843669,0.889001438137099,0.955730589214366,-6.36759112465014,54769,"DIRAS family GTPase 2","Concordant"
"P01011",2.68861549731252,-0.147334362079876,5.27120693568475,3.85870633883587e-05,0.00368131741032433,2.33033457291376,TRUE,"Upregulated","SERPINA3","202376_at",2.32259240654257,7.57338866452553,2.82584305123771,0.0053258584406873,0.0534376742671712,-2.57124407236737,12,"serpin family A member 3","Concordant"
"O15061",1.55530081335935,-0.507555512436427,5.2511983719781,4.03701796394407e-05,0.00368131741032433,2.2873983345142,TRUE,"Upregulated","SYNM","212730_at",0.792222576990598,10.72156520977,2.51333273879183,0.0129631649323266,0.0956295181130995,-3.35065985187475,23336,"synemin","Concordant"
"P31146",-1.31067198790258,0.281913015445136,-5.24112859156936,4.1299112146772e-05,0.00368131741032433,2.26577452282223,TRUE,"Downregulated","CORO1A","209083_at",-3.22728400338917,6.73883960637694,-5.89882929998719,2.15899344039981e-08,4.86054957359473e-06,8.95007704449612,11151,"coronin 1A","Concordant"
"Q92947",1.1246444637441,0.15005866233878,5.17820871043667,4.76178169015509e-05,0.00388924298003102,2.13043563076402,TRUE,"Upregulated","GCDH","208369_s_at",-0.635677199907266,5.72474782382498,-1.51625846501962,0.131455034339752,0.375773726377056,-5.2614451221846,2639,"glutaryl-CoA dehydrogenase","Discordant"
"P37802",1.52644795635296,0.0123955803735249,5.1743691437144,4.80338797272564e-05,0.00388924298003102,2.12216449145986,TRUE,"Upregulated","TAGLN2","200916_at",1.44309246355864,5.91487812617939,2.55248305168708,0.011645154905323,0.0891309722677575,-3.25759004190807,8407,"transgelin 2","Concordant"
"Q09666",1.85961368873912,0.437783518270486,5.16790407744119,4.87428268653872e-05,0.00388924298003102,2.10823438631891,TRUE,"Upregulated","AHNAK","211986_at",2.42439465138467,8.14781450767567,4.72533978296475,5.04982159205052e-06,0.00032298992139713,3.81327232651436,79026,"AHNAK nucleoprotein","Concordant"
"Q9UPY8",-0.98796551207316,-0.0933290241183545,-5.15977033847014,4.96499103833747e-05,0.00388924298003102,2.09070324263801,TRUE,"Not Significant","MAPRE3","203842_s_at",-1.36745575731699,5.74838755405036,-2.98694400186622,0.00326816336082224,0.0386343222731892,-2.13734102696997,22924,"microtubule associated protein RP/EB family member 3","Concordant"
"P36959",2.66774489929971,0.086449499260191,5.10273219387567,5.65127304263473e-05,0.00429662965153258,1.967593395259,TRUE,"Upregulated","GMPR","204187_at",0.375553361136356,7.18050952044456,0.916133720037185,0.360994937161295,0.637598325899441,-5.96791458417966,2766,"guanosine monophosphate reductase","Concordant"
"P30626",0.937213984438637,0.100971394229723,5.07644185971062,5.99936711570038e-05,0.00443096114116728,1.91074988827827,TRUE,"Not Significant","SRI","208920_at",0.48712039629953,8.34448648246247,1.41366066213234,0.159431626690958,0.417429268407843,-5.4063847060983,6717,"sorcin","Concordant"
"P31946",-1.0980554742339,0.159244150537711,-5.03549271650832,6.58552685413719e-05,0.00465528663278583,1.82209156915429,TRUE,"Downregulated","YWHAB","217717_s_at",-1.71160260336342,9.31085368563514,-4.54495744487309,1.08754791039892e-05,0.000593219721125711,3.09648679376029,7529,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta","Concordant"
