"UNIPROT","logFC_protein","AveExpr.x","t.x","P.Value.x","adj.P.Val.x","B.x","significant","category","SYMBOL","X","logFC_rna","AveExpr.y","t.y","P.Value.y","adj.P.Val.y","B.y","ENTREZID","GENENAME","status"
"O14558",2.15293800229361,-0.030008132219471,5.90020491464974,4.26857954348877e-05,0.029035586930417,2.35228112505529,TRUE,"Upregulated","HSPB6","214767_s_at",0.696222948657048,4.94730828695582,1.22123027317044,0.223820620007034,0.502059863321665,-5.53909147557209,126393,"heat shock protein family B (small) member 6","Concordant"
"P06703",2.15561068365358,0.84677592795347,5.78923980397213,5.16107600251604e-05,0.029035586930417,2.18065694463962,TRUE,"Upregulated","S100A6","228923_at",0.826421956821641,4.25091786266044,1.5593079553112,0.120927164650966,0.360485791460616,-5.08885779216494,6277,"S100 calcium binding protein A6","Concordant"
"P15259",2.77744853612458,0.016974792189469,5.76026235656807,5.42494534240935e-05,0.029035586930417,2.13550446532074,TRUE,"Upregulated","PGAM2","205736_at",0.142289003819858,4.11118629169876,0.264886314818961,0.791442786977743,0.912490172857491,-6.22505301589113,5224,"phosphoglycerate mutase 2","Concordant"
"Q09666",1.91297711730082,1.12666418544995,5.72835989195525,5.7318509668425e-05,0.029035586930417,2.08563449055678,TRUE,"Upregulated","AHNAK","1563560_at",-0.769829057989377,4.15141638896782,-1.36053708727539,0.175600545721695,0.442522155245958,-5.36650796083352,79026,"AHNAK nucleoprotein","Discordant"
"P55087",1.44230885812773,0.709747009262845,5.52627855313763,8.14898464458297e-05,0.029035586930417,1.76587391100591,TRUE,"Upregulated","AQP4","210068_s_at",-0.671873367873255,6.85585881776893,-1.45248705954687,0.148352089313464,0.404529733015927,-5.24263884663949,361,"aquaporin 4","Discordant"
"P05362",1.80837286682574,0.8026291000452,5.50317858708073,8.48646469038567e-05,0.029035586930417,1.72889949082752,TRUE,"Upregulated","ICAM1","202637_s_at",1.02196940900336,5.25507920505335,1.80403799469631,0.0731329434456093,0.271426618748318,-4.69686883044636,3383,"intercellular adhesion molecule 1","Concordant"
"P84243",1.73017176640121,-1.47690429472281,5.49328381184173,8.63545873188458e-05,0.029035586930417,1.71303532254892,TRUE,"Upregulated","H3-3A","200080_s_at",0.301851448796205,12.173059707422,0.948593368875756,0.344278183774735,0.623527218768945,-5.82384139885615,3020,"H3.3 histone A","Concordant"
"P84243",1.73017176640121,-1.47690429472281,5.49328381184173,8.63545873188458e-05,0.029035586930417,1.71303532254892,TRUE,"Upregulated","H3-3B","209069_s_at",-1.3348153380176,9.13284286626722,-3.72571849866384,0.000270817877002821,0.00726668823261487,0.184935454451994,3021,"H3.3 histone B","Discordant"
"P16070",2.10154981697078,1.17858114880163,5.46386840746904,9.09473863434626e-05,0.029035586930417,1.66578093135613,TRUE,"Upregulated","CD44","204490_s_at",-0.657726335092664,4.51745294372743,-1.1213029827658,0.26386267741699,0.546112960105688,-5.6516344221365,960,"CD44 molecule (IN blood group)","Discordant"
"P27338",2.18229633470873,0.694231956202123,5.43664224466882,9.54258314162869e-05,0.029035586930417,1.62191966289123,TRUE,"Upregulated","MAOB","204041_at",-0.783085712009186,9.15342096058662,-2.22757959432207,0.0273234013811388,0.15077503441625,-3.89026402051454,4129,"monoamine oxidase B","Discordant"
